,Skills,Sub-skills,Goals,stage-0
,Language and Communication,Attending and Understanding,Child attends to communication and language from others.,Uses verbal and non-verbal signals appropriately to acknowledge the comments or questions of others.
,,,,"Shows ongoing connection to a conversation, group discussion, or presentation."
,,,Child understands and responds to increasingly complex communication and language from others.,Shows an ability to recall (in order) multiple step directions.
,,,,"Demonstrates understanding of a variety of question types, such as ""Yes/No?"" or ""Who/What/When/Where?"" or ""How/ Why?"""
,,,,"Shows understanding of a variety of sentence types, such as multi-clause, cause-effect, sequential order, or if-then."
,,,,Shows an understanding of talk related to the past or future.
,,,,"Shows understanding, such as nodding or gestures, in response to the content of books read aloud, stories that are told, or lengthy explanations given on a topic. Children who are DLLs may demonstrate more complex communication and language in their home language than in English."
,,Communicating and Speaking,Child varies the amount of information provided to meet the demands of the situation.,"Usually provides sufficient detail in order to get needs met, such as explaining a point of difficulty in a task or sharing a request from home with the teacher."
,,,,"Uses language, spoken or sign, to clarify a word or statement when misunderstood."
,,,,Children who are DLLs may switch between their languages.
,,,"Child understands, follows, and uses appropriate social and conversational rules.","Maintains multi-turn conversations with adults, other children, and within larger groups by responding in increasingly sophisticated ways, such as asking related questions or expressing agreement."
,,,,"With increasing independence, matches the tone and volume of expression to the content and social situation, such as by using a whisper to tell a secret."
,,,"Child expresses self in increasingly long, detailed, and sophisticated ways.","Communicates clearly enough to be understood by adults across a range of situations. Pronunciation errors and grammatical errors are isolated and infrequent. Shows proficiency with prepositions, regular/irregular past tense, possessives, and noun-verb agreement."
,,,,"Typically, uses complete sentences of more than five words with complex structures, such as sentences involving sequence and causal relations."
,,,,"Can produce and organize multiple sentences on a topic, such as giving directions or telling a story, including information about the past or present or things not physically present, and answer a variety of question types."
,,Vocabulary,Child understands and uses a wide variety of words for a variety of purposes.,Demonstrates the use of multiple (two or three) new words or signs a day during play and other activities.
,,,,Shows recognition of and/or familiarity with key domain-specific words heard during reading or discussions.
