Skills,Sub-skills,Goal,Stage-7,Stage-8,Stage-9
Mathematics,Number,"Integers, powers and roots","Estimate, add and subtract integers, recognising generalisations.","Understand that brackets, indices (square and cube roots) and operations follow a particular order.",Understand the difference between rational and irrational numbers.
,,,"Understand that brackets, positive indices and operations follow a particular order.","Estimate, multiply and divide integers, recognising generalisations.","Use positive, negative and zero indices, and the index laws for multiplication and division."
,,,"Estimate, multiply and divide integers including where one integer is negative.","Understand factors, multiples, prime factors, highest common factors and lowest common multiples.",Understand the standard form for representing large and small numbers.
,,,Understand lowest common multiple and highest common factor (numbers less than 100).,"Understand the hierarchy of natural numbers, integers and rational numbers.",Use knowledge of square and cube roots to estimate surds.
,,,Use knowledge of tests of divisibility to find factors of numbers greater than 100.,"Use positive and zero indices, and the index laws for multiplication and division.",
,,,"Understand the relationship between squares and corresponding square roots, and cubes and corresponding cube roots.","Recognise squares of negative and positive numbers, and corresponding square roots.",
,,,,"Recognise positive and negative cube numbers, and the corresponding cube roots.",
,,"Place value, ordering and rounding",Use knowledge of place value to multiply and divide whole numbers and decimals by any positive power of 10 .,Use knowledge of place value to multiply and divide integers and decimals by 0.1 and 0.01 .,Multiply and divide integers and decimals by 10 to the power of any positive or negative number.
,,,Round numbers to a given number of decimal places.,Round numbers to a given number of significant figures.,Understand that when a number is rounded there are upper and lower limits for the original number.
,,"Fractions, decimals, percentages, ratio and proportion","Recognise that fractions, terminating decimals and percentages have equivalent values.",Recognise fractions that are equivalent to recurring decimals.,Deduce whether fractions will have recurring or terminating decimal equivalents.
,,,"Estimate and add mixed numbers, and write the answer as a mixed number in its simplest form.","Estimate and subtract mixed numbers, and write the answer as a mixed number in its simplest form.","Estimate, add and subtract proper and improper fractions, and mixed numbers, using the order of operations."
,,,"Estimate, multiply and divide proper fractions.","Estimate and multiply an integer by a mixed number, and divide an integer by a proper fraction.","Estimate, multiply and divide fractions, interpret division as a multiplicative inverse, and cancel common factors before multiplying or dividing."
,,,"Use knowledge of common factors, laws of arithmetic and order of operations to simplify calculations containing decimals or fractions.",Use knowledge of the laws of arithmetic and order of operations (including brackets) to simplify calculations containing decimals or fractions.,"Use knowledge of the laws of arithmetic, inverse operations, equivalence and order of operations (brackets and indices) to simplify calculations containing decimals and fractions."
,,,"Recognise percentages of shapes and whole numbers, including percentages less than 1 or greater than 100 .","Understand percentage increase and decrease, and absolute change.",Understand compound percentages.
,,,"Understand the relative size of quantities to compare and order decimals and fractions, using the symbols  =, ≠, > and <. ","Understand the relative size of quantities to compare and order decimals and fractions (positive and negative), using the symbols  =, ≠, >, <, ≤ and ≥. ","Estimate, multiply and divide decimals by integers and decimals."
,,,"Estimate, add and subtract positive and negative numbers with the same or different number of decimal places.",Estimate and multiply decimals by integers and decimals.,Understand the relationship between two quantities when they are in direct or inverse proportion.
,,,"Estimate, multiply and divide decimals by whole numbers.",Estimate and divide decimals by numbers with one decimal place.,Use knowledge of ratios and equivalence for a range of contexts.
,,,Understand and use the unitary method to solve problems involving ratio and direct proportion in a range of contexts.,Understand and use the relationship between ratio and direct proportion.,
,,,Use knowledge of equivalence to simplify and compare ratios (same units).,Use knowledge of equivalence to simplify and compare ratios (different units).,
,,,Understand how ratios are used to compare quantities to divide an amount into a given ratio with two parts.,Understand how ratios are used to compare quantities to divide an amount into a given ratio with two or more parts.,
,Algebra,"Expressions, equations and formulae","Understand that letters can be used to represent unknown numbers, variables or constants.","Understand that letters have different meanings in expressions, formulae and equations.",Understand that the laws of arithmetic and order of operations apply to algebraic terms and expressions (four operations and integer powers).
,,,Understand that the laws of arithmetic and order of operations apply to algebraic terms and expressions (four operations).,"Understand that the laws of arithmetic and order of operations apply to algebraic terms and expressions (four operations, squares and cubes).",Understand how to manipulate algebraic expressions including: 1) expanding the product of two algebraic expressions 2) applying the laws of indices 3) simplifying algebraic fractions.
,,,Understand how to manipulate algebraic expressions including: a)collecting like terms b) applying the distributive law with a constant.,Understand how to manipulate algebraic expressions including: 1) applying the distributive law with a single term (squares and cubes) 2) identifying the highest common factor to factorise.,"Understand that a situation can be represented either in words or as an algebraic expression, and move between the two representations (including squares, cubes and roots)."
,,,"Understand that a situation can be represented either in words or as an algebraic expression, and move between the two representations (linear with integer coefficients).","Understand that a situation can be represented either in words or as an algebraic expression, and move between the two representations (linear with integer or fractional coefficients).","Understand that a situation can be represented either in words or as a formula (including squares and cubes), and manipulate using knowledge of inverse operations to change the subject of a formula."
,,,"Understand that a situation can be represented either in words or as a formula (single operation), and move between the two representations.","Understand that a situation can be represented either in words or as a formula (mixed operations), and manipulate using knowledge of inverse operations to change the subject of a formula.",Understand that a situation can be represented either in words or as an equation. Move between the two representations and solve the equation (including those with an unknown in the denominator).
,,,"Understand that a situation can be represented either in words or as an equation. Move between the two representations and solve the equation (integer coefficients, unknown on one side).","Understand that a situation can be represented either in words or as an equation. Move between the two representations and solve the equation (integer or fractional coefficients, unknown on either or both sides).",Understand that the solution of simultaneous linear equations: 1) is the pair of values that satisfy both equations 2) can be found algebraically (eliminating one variable) 3) can be found graphically (point of intersection).
,,,Understand that letters can represent an open interval (one term).,Understand that letters can represent open and closed intervals (two terms).,Understand that a situation can be represented either in words or as an inequality. Move between the two representations and solve linear inequalities.
,,"Sequences, functions and graphs","Understand term-to-term rules, and generate sequences from numerical and spatial patterns (linear and integers).","Understand term-to-term rules, and generate sequences from numerical and spatial patterns (including fractions).",Generate linear and quadratic sequences from numerical patterns and from a given term-to-term rule (any indices).
,,,"Understand and describe nth term rules algebraically (in the form  n ± a, a × n where a is a whole number).","Understand and describe nth term rules algebraically (in the form n ± a, a × n, or an ± b, where a and b are positive or negative integers or fractions). ","Understand and describe nth term rules algebraically (in the form an ± b, where a and b are positive or negative integers or fractions, and in the form  n/a, n2, n3 or n2 ± a, where a is a whole number)"
,,,Understand that a function is a relationship where each input has a single output. Generate outputs from a given function and identify inputs from a given output by considering inverse operations (linear and integers).,Understand that a function is a relationship where each input has a single output. Generate outputs from a given function and identify inputs from a given output by considering inverse operations (including fractions).,Understand that a function is a relationship where each input has a single output. Generate outputs from a given function and identify inputs from a given output by considering inverse operations (including indices).
,,,"Understand that a situation can be represented either in words or as a linear function in two variables (of the form y = x + c or y = mx), and move between the two representations.","Understand that a situation can be represented either in words or as a linear function in two variables (of the form y = mx + c), and move between the two representations. ","Understand that a situation can be represented either in words or as a linear function in two variables (of the form y = mx + c or ax + by = c), and move between the two representations. "
,,,"Use knowledge of coordinate pairs to construct tables of values and plot the graphs of linear functions, where y is given explicitly in terms of x (y = x + c or y = mx). ","Use knowledge of coordinate pairs to construct tables of values and plot the graphs of linear functions, where y is given explicitly in terms of x (y = mx + c). ","Use knowledge of coordinate pairs to construct tables of values and plot the graphs of linear functions, including where  y is given implicitly in terms of x (ax + by = c), and quadratic functions of the form y = x2 ± a. "
,,,Recognise straight-line graphs parallel to the y is given explicitly in terms of x (y = x + c or y = mx). ,"Recognise that equations of the form y = mx + c correspond to straight-line graphs, where m is the gradient and c is the y-intercept (integer values of m). ","Understand that straight-line graphs can be represented by equations. Find the equation in the form y = mx + c or where y is given implicitly in terms of x (fractional, positive and negative gradients)."
,,,Read and interpret graphs related to rates of change. Explain why they have a specific shape.,Read and interpret graphs with more than one component. Explain why they have a specific shape and the significance of intersections of the graphs.,"Read, draw and interpret graphs and use compound measures to compare graphs."
,Geometry and Measure,"Geometrical reasoning, shapes and measurements","Identify, describe and sketch regular polygons, including reference to sides, angles and symmetrical properties.",Identify and describe the hierarchy of quadrilaterals.,Know and use the formulae for the area and circumference of a circle.
,,,"Understand that if two 2D shapes are congruent, corresponding sides and angles are equal.",Understand π as the ratio between a circumference and a diameter. Know and use the formula for the circumference of a circle. ,"Know and recognise very small or very large units of length, capacity and mass."
,,,"Know the parts of a circle: centre, radius, diameter, circumference, chord, tangent.","Know that distances can be measured in miles or kilometres, and that a kilometre is approximately 5/8 of a mile or a mile is 1.6 kilometres.","Estimate and calculate areas of compound 2D shapes made from rectangles, triangles and circles."
,,,"Understand the relationships and convert between metric units of area, including hectares (ha), square metres (m²), square centimetres (cm²) and square millimetres (mm²).","Use knowledge of rectangles, squares and triangles to derive the formulae for the area of parallelograms and trapezia. Use the formulae to calculate the area of parallelograms and trapezia.",Use knowledge of area and volume to derive the formula for the volume of prisms and cylinders. Use the formula to calculate the volume of prisms and cylinders.
,,,Derive and know the formula for the area of a triangle. Use the formula to calculate the area of triangles and compound shapes made from rectangles and triangles.,"Understand and use Euler's formula to connect number of vertices, faces and edges of 3D shapes.","Use knowledge of area, and properties of cubes, cuboids, triangular prisms, pyramids and cylinders to calculate their surface area."
