,Skills,Sub-skills,Goals,stage-1,stage-2,stage-3,stage-4,stage-5,stage-6
,English,Reading,Word structure (phonics) (Stages 1 to 4 only) Learners develop the decoding skills that form the foundation of reading for all stages.,Know the name of each letter in the English alphabet and the most common sound (phoneme) associated with it. ,"Identify common ways in which graphemes can be pronounced differently, e.g. how and low; hot and cold.","Identify less common ways in which graphemes can be pronounced, e.g. young, could; move, love.","Use effective strategies to read unfamiliar words accurately and confidently, including using phonic, morphological and grammatical knowledge, segmenting and contextual information.",,
,,,,"Identify the sounds (phonemes) represented by more than one letter (consonant digraphs; vowel digraphs; trigraphs, e.g. th, sh, ch; ai, ee; igh). ","Read words with split digraphs, e.g. made, like.","Read words with an apostrophe to mark omission of letters, e.g. can't, don't.",Identify stressed and unstressed syllables in multi-syllabic words.,,
,,,,"Blend to identify the sounds represented by adjacent consonants, e.g. br, nd. ","Read words with common prefixes and suffixes, including un-, dis-, re-, -er, -est, -ly, -y and -ful.","Use effective strategies to read unfamiliar words, including using phonic knowledge, segmenting and contextual information.","Extend the range of common words recognised on sight, including homophones and near-homophones.",,
,,,,"Read verbs with endings -s, -ed and -ing. ","Read familiar words quickly and accurately, usually without audible sounding and blending.","Extend the range of common words recognised on sight, including homophones and near-homophones.",,,
,,,,Use phonic knowledge to read decodable words. ,Use phonic knowledge to decode unfamiliar words.,,,,
,,,,Use phonic knowledge to sound out some elements of unfamiliar words. ,Read multi-syllabic and compound words by segmenting them into syllables.,,,,
,,,,"Begin to recognise a range of common words on sight, including common exception words.","Extend the range of common words recognised on sight, including homophones and near-homophones.",,,,
,,,"Vocabulary and language Learners explore meaning and use of language in texts, broadening their vocabulary and developing appreciation of how writers choose language for effect.",Begin to show understanding of words and sentences encountered in reading.,Identify possible meanings of unfamiliar words encountered in reading.,Deduce the meanings of unfamiliar words from their context.,Use context to suggest synonyms for unfamiliar words.,"Deduce the meanings of unfamiliar words, including using context and knowledge of root words, prefixes and suffixes.","Deduce the meanings of unfamiliar phrases from their context, including phrases which are no longer common in modern times."
,,,,Use pictures in texts as cues to support understanding of unfamiliar words.,Identify and record interesting and significant words from texts to inform own writing.,"Identify and record interesting and significant words, and synonyms, from texts to inform own writing.",Explore words with common roots and compare their meanings.,Explore common idiomatic phrases and their meanings.,"Explore word origins and derivations, including the use of words from other languages."
,,,,Identify and record interesting and significant words from texts to inform own writing.,"Use the initial letter to organise words in alphabetical order, and to locate words in simple dictionaries and glossaries.","Use the initial two letters to organise words in alphabetical order, and to locate words in dictionaries and glossaries.","Identify and record interesting and significant words, and synonyms, from texts to inform own writing.","Identify and record interesting and significant words, and synonyms, from texts to inform own writing.","Identify and record interesting and significant words, and synonyms, from texts to inform own writing."
,,,,Recite the alphabet in order.,"Explore and comment on sounds and words in texts, including adjectives.","Explore and comment on words in texts that make an impact on the reader, including noun phrases and adjectives.","Use as many initial letters as necessary to organise words in alphabetical order, and to locate words in dictionaries and glossaries.",Locate words efficiently in alphabetically organised lists.,"Comment on a writer's choice of language, demonstrating some awareness of the impact on the reader."
